"Timestamp","How many Washing Machines are Available?","How many Dryers are Available?","What Hall?","","Is today a holiday or break? ",""
"9/15/2024 20:30:50","2","6","Oglesby","","",""
"9/15/2024 22:28:32","1","0","Oglesby","","",""
"9/16/2024 9:07:04","8","1","Oglesby","","",""
"9/16/2024 9:29:57","3","3","Oglesby","","",""
"9/16/2024 10:08:14","5","5","Oglesby","","",""
"9/16/2024 20:54:38","3","0","Trelease","","",""
"9/16/2024 22:01:21","2","0","Oglesby","","",""
"9/17/2024 10:25:58","0","1","Oglesby","","",""
"9/18/2024 19:07:31","2","11","Oglesby","","",""
"9/18/2024 19:57:28","2","2","Trelease","","",""
"9/18/2024 21:55:20","7","2","Oglesby","","",""
"9/19/2024 14:13:27","6","2","Oglesby","","",""
"9/20/2024 9:09:18","10","7","Oglesby","","",""
"9/20/2024 18:58:02","8","3","Oglesby","","",""
"9/21/2024 15:25:30","6","2","Oglesby","","",""
"9/21/2024 18:34:22","9","9","Oglesby","","",""
"9/21/2024 21:21:47","6","7","Oglesby","","",""
"9/22/2024 13:31:30","1","6","Oglesby","","",""
"9/25/2024 18:42:16","4","1","Oglesby","","",""
"9/27/2024 16:35:40","1","0","Oglesby","","",""
"9/27/2024 20:47:23","7","7","Oglesby","","",""
"9/27/2024 23:20:34","3","0","Oglesby","","",""
"9/28/2024 14:31:32","0","6","Oglesby","","",""
"9/28/2024 16:52:57","5","0","Oglesby","","",""
"9/29/2024 0:11:39","6","9","Oglesby","","",""
"9/30/2024 22:02:23","9","7","Oglesby","","",""
"9/30/2024 22:18:16","7","9","Oglesby","","",""
"9/30/2024 22:39:04","2","8","Oglesby","","",""
"9/30/2024 22:58:20","6","6","Oglesby","","",""
"9/30/2024 23:03:57","8","3","Oglesby","","",""
"9/30/2024 23:25:45","11","2","Oglesby","","",""
"9/30/2024 23:48:23","7","3","Oglesby","","",""
"10/2/2024 18:13:55","7","3","Oglesby","","",""
"10/5/2024 1:20:38","6","5","Oglesby","","",""
"10/5/2024 14:23:43","2","0","Oglesby","","",""
"10/6/2024 21:43:13","2","1","Oglesby","","",""
"10/7/2024 1:43:56","2","1","Trelease","","",""
"10/10/2024 19:39:29","1","6","Trelease","","",""
"10/12/2024 14:20:06","7","2","Trelease","","",""
"10/13/2024 18:19:41","4","2","Oglesby","","",""
"10/15/2024 22:04:15","0","1","Oglesby","","",""
"10/15/2024 22:04:35","4","1","Oglesby","","",""
"10/16/2024 9:00:10","10","9","Oglesby","","",""
"10/16/2024 18:40:34","8","7","Oglesby","","",""
"10/16/2024 20:09:31","3","3","Trelease","","",""
"10/17/2024 16:09:42","1","0","Trelease","","",""
"10/18/2024 10:40:50","8","3","Oglesby","","",""
"10/19/2024 13:04:06","4","2","Oglesby","","",""
"10/20/2024 18:50:27","0","15","Oglesby","","",""
"10/21/2024 23:07:30","2","0","Oglesby","","",""
"10/22/2024 2:10:25","0","1","Oglesby","","",""
"10/22/2024 2:10:36","1","0","Trelease","","",""
"10/22/2024 19:25:37","2","2","Oglesby","","",""
"10/23/2024 9:05:16","7","4","Trelease","","",""
"10/23/2024 23:06:39","11","3","Oglesby","","",""
"10/24/2024 1:46:14","6","7","Trelease","","",""
"10/31/2024 15:53:56","6","1","Oglesby","","",""
"11/4/2024 10:27:55","11","3","Oglesby","","",""
"11/6/2024 19:08:01","3","4","Oglesby","","",""
"11/9/2024 3:17:45","7","6","Oglesby","","",""
"11/10/2024 7:51:40","0","0","Oglesby","","",""
"11/13/2024 18:34:57","7","5","Oglesby","","",""
"11/14/2024 13:15:37","14","7","Oglesby","","",""
"11/16/2024 16:10:04","4","0","Oglesby","","",""
"11/21/2024 10:35:14","6","0","Oglesby","","",""
"11/21/2024 12:09:55","2","0","Oglesby","","",""
"11/21/2024 13:07:19","0","2","Oglesby","","",""
"11/21/2024 14:18:41","2","0","Oglesby","","",""
"12/2/2024 22:27:38","13","9","Oglesby","","",""
"12/3/2024 11:41:10","12","9","Oglesby","","",""
"12/3/2024 16:28:20","10","9","Oglesby","","",""
"12/3/2024 21:28:31","10","6","Oglesby","","",""
"12/3/2024 21:31:21","13","8","Trelease","","",""
"12/11/2024 20:59:40","13","0","Oglesby","","",""
"12/13/2024 9:52:08","11","9","Oglesby","","",""
"12/13/2024 11:15:51","4","1","Oglesby","","",""
"12/13/2024 12:44:51","11","3","Oglesby","","",""
"12/13/2024 13:08:58","1","4","Oglesby","","",""
"12/14/2024 12:07:47","8","4","Oglesby","","",""
"1/19/2025 15:05:34","5","4","Oglesby","","",""
